Competition,Stage,Round,Date,Kickoff (UTC),Home Team,Away Team,Score Home,Score Away,Odds Home,Odds Draw,Odds Away,Status
Premier League,Syria,,2026-04-30,14:00,Al-Ittihad Aleppo,Al Taliya,,,1.38,4.20,7.20,Scheduled
Premier League,Syria,,2026-04-30,14:00,Damascus Al-Ahli,Tishreen,,,,,,Scheduled
Premier League,Syria,,2026-04-30,14:00,Foutoua,Umayya,,,,,,Scheduled
Premier League,Syria,,2026-04-30,14:00,Homs Al Fidaa,Al Shorta,,,,,,Scheduled
Premier League,Syria,,2026-04-30,14:00,Jableh,Al Karamah,,,,,,Scheduled
Ligi Kuu Bara,Tanzania,,2026-04-30,12:00,Singida Black Stars,Pamba,,,1.50,3.48,6.76,Scheduled
Ligi Kuu Bara,Tanzania,,2026-04-30,14:15,Fountain Gate,Coastal Union,,,2.61,2.77,2.71,Scheduled
Ligi Kuu Bara,Tanzania,,2026-04-30,16:30,Azam,Namungo,,,1.20,5.05,14.60,Scheduled
Turkish Cup - Play Offs,Turkey,,2026-04-30,18:30,Besiktas,Konyaspor,,,1.50,4.10,5.00,Scheduled
UAE League,United Arab Emirates,,2026-04-30,15:05,Ajman,Al Jazira,,,4.86,4.00,1.55,Scheduled
UAE League,United Arab Emirates,,2026-04-30,17:45,Bani Yas,Al Dhafra,,,1.87,3.50,3.59,Scheduled
UAE League,United Arab Emirates,,2026-04-30,17:45,Dibba Al Fujairah,Al Bataeh,,,4.05,3.50,1.79,Scheduled
UAE League,United Arab Emirates,,2026-04-30,17:45,Ittihad Kalba,Khorfakkan,,,2.13,3.38,2.99,Scheduled
Pro Liga,Uzbekistan,,2026-04-30,13:00,Jayxun,Metallurg Bekabad,,,4.64,4.10,1.56,Scheduled
Pro Liga,Uzbekistan,,2026-04-30,13:00,Respublika FA,Lochin,,,2.34,3.18,2.78,Scheduled
Pro Liga,Uzbekistan,,2026-04-30,13:00,Shortan Guzor,Pakhtakor II,,,1.46,4.39,5.33,Scheduled
